instance_id,algorithm,target_residual,runs,successes,success_rate,ert_function_evaluations,median_nfe_to_target_successes,dimension,dimension_group
DGOSPEC,Multi-start L-BFGS-B,0.001,30,30,1.0,21.0,21.0,3,small_2_20
DGOSPEC,Multi-start L-BFGS-B,0.1,30,30,1.0,5.0,5.0,3,small_2_20
DGOSPEC,Random Search,1e-05,30,0,0.0,inf,,3,small_2_20
DGOSPEC,Random Search,0.001,30,23,0.7666666666666667,674.5217391304348,263.0,3,small_2_20
DGOSPEC,Random Search,0.1,30,30,1.0,5.666666666666667,5.0,3,small_2_20
DIAGIQB[N=500],BIPOP-CMA-ES,1e-05,30,0,0.0,inf,,500,large_101_500
DIAGIQB[N=500],BIPOP-CMA-ES,0.001,30,0,0.0,inf,,500,large_101_500
DIAGIQB[N=500],BIPOP-CMA-ES,0.1,30,30,1.0,11916.833333333334,11976.0,500,large_101_500
DIAGIQB[N=500],BasinGraph,1e-05,30,30,1.0,9561.0,9561.0,500,large_101_500
DIAGIQB[N=500],BasinGraph,0.001,30,30,1.0,9558.0,9558.0,500,large_101_500
DIAGIQB[N=500],BasinGraph,0.1,30,30,1.0,9092.0,9092.0,500,large_101_500
DIAGIQB[N=500],CMA-ES,1e-05,30,0,0.0,inf,,500,large_101_500
DIAGIQB[N=500],CMA-ES,0.001,30,0,0.0,inf,,500,large_101_500
DIAGIQB[N=500],CMA-ES,0.1,30,30,1.0,11746.8,11822.0,500,large_101_500
DIAGIQB[N=500],Differential Evolution,1e-05,30,0,0.0,inf,,500,large_101_500
DIAGIQB[N=500],Differential Evolution,0.001,30,0,0.0,inf,,500,large_101_500
DIAGIQB[N=500],Differential Evolution,0.1,30,0,0.0,inf,,500,large_101_500
DIAGIQB[N=500],Latin Hypercube Sampling,1e-05,30,0,0.0,inf,,500,large_101_500
DIAGIQB[N=500],Latin Hypercube Sampling,0.001,30,0,0.0,inf,,500,large_101_500
DIAGIQB[N=500],Latin Hypercube Sampling,0.1,30,0,0.0,inf,,500,large_101_500
DIAGIQB[N=500],Multi-start L-BFGS-B,1e-05,30,0,0.0,inf,,500,large_101_500
DIAGIQB[N=500],Multi-start L-BFGS-B,0.001,30,0,0.0,inf,,500,large_101_500
DIAGIQB[N=500],Multi-start L-BFGS-B,0.1,30,30,1.0,502.0,502.0,500,large_101_500
DIAGIQB[N=500],Random Search,1e-05,30,0,0.0,inf,,500,large_101_500
DIAGIQB[N=500],Random Search,0.001,30,0,0.0,inf,,500,large_101_500
DIAGIQB[N=500],Random Search,0.1,30,0,0.0,inf,,500,large_101_500
DIAGIQE[N=50],BIPOP-CMA-ES,1e-05,30,0,0.0,inf,,50,medium_21_100
DIAGIQE[N=50],BIPOP-CMA-ES,0.001,30,0,0.0,inf,,50,medium_21_100
DIAGIQE[N=50],BIPOP-CMA-ES,0.1,30,30,1.0,1240.2333333333333,1170.5,50,medium_21_100
