instance_id,algorithm,dimension_group,objective_type,median_normalized_residual,mean_normalized_residual,median_log10_residual,q25_normalized_residual,q75_normalized_residual,median_fbest,mean_fbest,median_budget_ratio,median_wall_time_seconds,success_rate_1e_1,success_rate_1e_3,success_rate_1e_5,final_value_rank,final_value_win
DIAGNQT[N=500],Differential Evolution,large_101_500,quadratic,0.569367767952941,0.5658835564785591,-0.24460714571201558,0.560816746368523,0.5721249034189345,-1.7996874368360074e+16,-1.8142485661502316e+16,1.0,0.3786887085007038,0.0,0.0,0.0,5.0,False
DIAGNQT[N=500],Latin Hypercube Sampling,large_101_500,quadratic,0.6208368687529767,0.6211819529343511,-0.2070225004765151,0.616315938261059,0.6261935696027058,-1.5845890600736854e+16,-1.583146892907246e+16,1.0,0.24789774999953806,0.0,0.0,0.0,6.0,False
DIAGNQT[N=500],Multi-start L-BFGS-B,large_101_500,quadratic,0.034974337774527575,0.03497433777452758,-1.4562504999552552,0.034974337774527575,0.034974337774527575,-4.03301107368e+16,-4.03301107368e+16,0.82665,0.15206070849671954,1.0,0.0,0.0,2.0,False
DIAGNQT[N=500],Random Search,large_101_500,quadratic,0.6245516350486586,0.6225542151850934,-0.2044316547486368,0.6197878011690788,0.6259840882966567,-1.5690644018256824e+16,-1.5774119688841186e+16,1.0,0.16099674999713895,0.0,0.0,0.0,7.0,False
DIAGNQT[N=50],BIPOP-CMA-ES,medium_21_100,quadratic,0.03611168695381155,0.037585408142503204,-1.4423617588187367,0.029216620499806813,0.04173718923514384,-413749010180674.44,-413116415434115.1,1.0,0.13997827051207418,1.0,0.0,0.0,4.0,False
DIAGNQT[N=50],BasinGraph,medium_21_100,quadratic,0.0,0.0,-16.0,0.0,0.0,-429249950000000.0,-429249950000000.0,1.0,0.01905845850706095,1.0,1.0,1.0,1.0,True
DIAGNQT[N=50],CMA-ES,medium_21_100,quadratic,0.029293361579899972,0.032206855611142865,-1.53342604714766,0.024615196889892853,0.040238086263341175,-416675776006507.1,-415425158839271.94,1.0,0.13601285399636248,1.0,0.0,0.0,3.0,False
DIAGNQT[N=50],Differential Evolution,medium_21_100,quadratic,0.39670740684092964,0.38904793155892675,-0.4015298592037511,0.37852523595421506,0.4083811992650527,-258963315449051.75,-262251144830874.8,1.0,0.02724927099188785,0.0,0.0,0.0,5.0,False
DIAGNQT[N=50],Latin Hypercube Sampling,medium_21_100,quadratic,0.492845885290926,0.4939391239970818,-0.3072893247289545,0.4892507058776729,0.5062748571311128,-217695878381351.2,-217226605721396.2,1.0,0.0071337084809783,0.0,0.0,0.0,7.0,False
DIAGNQT[N=50],Multi-start L-BFGS-B,medium_21_100,quadratic,0.012076281895908387,0.011793964847918436,-1.9180667578211341,0.012076281895908387,0.012076281895908387,-424066206600000.0,-424187391178733.75,0.3672,0.006985563028138049,1.0,0.0,0.0,2.0,False
DIAGNQT[N=50],Random Search,medium_21_100,quadratic,0.49163853974589694,0.48629660203537134,-0.30835427494765777,0.4770799757351725,0.49766495029440894,-218214131396187.2,-220507157891331.38,1.0,0.008454625000013,0.0,0.0,0.0,6.0,False
DIAGPQB[N=500],BIPOP-CMA-ES,large_101_500,quadratic,861310949.8229761,877168027.4487395,8.935159912711267,812234401.2502062,923561513.6604733,36780117067536.88,37457253671397.516,1.0,4.68098677098169,0.0,0.0,0.0,3.0,False
DIAGPQB[N=500],BasinGraph,large_101_500,quadratic,0.0,0.0,-16.0,0.0,0.0,-410.73401637872365,-410.73401637872365,1.0,0.3202692915219813,1.0,1.0,1.0,1.0,True
DIAGPQB[N=500],CMA-ES,large_101_500,quadratic,860296951.4243759,861755069.7411826,8.934646208763805,789144056.9438257,919640936.0063312,36736816817128.016,36799082091245.445,1.0,4.621212875499623,0.0,0.0,0.0,2.0,False
DIAGPQB[N=500],Differential Evolution,large_101_500,quadratic,235727092491.3553,234942726067.91388,11.372409427983786,233030451671.6371,236555246003.3745,1.0066132399339116e+16,1.0032638004679128e+16,1.0,0.3797758334840182,0.0,0.0,0.0,7.0,False
DIAGPQB[N=500],Latin Hypercube Sampling,large_101_500,quadratic,231372473300.28906,229980789464.04,11.364311660552671,226613704346.26404,233840119353.5222,9880179342935196.0,9820750986161920.0,1.0,0.24192781248711975,0.0,0.0,0.0,6.0,False
DIAGPQB[N=500],Multi-start L-BFGS-B,large_101_500,quadratic,1930014550.9905581,1971695428.7982645,9.285515855283897,650174768.8681129,3343728866.754728,82416415514641.94,84196292533014.16,1.0,0.1841603959910571,0.0,0.0,0.0,4.0,False
DIAGPQB[N=500],Random Search,large_101_500,quadratic,198181201748.22748,198181201748.22748,11.297062457595299,198181201748.22748,198181201748.22748,8462829600000000.0,8462829600000000.0,1.0,0.1614612085104454,0.0,0.0,0.0,5.0,False
DIAGPQE[N=10],BIPOP-CMA-ES,small_2_20,quadratic,191918.3753060706,534737.0705093041,5.282992990696988,85685.58321632417,307089.69005634927,7477999.023805842,20835752.631485645,1.0,0.0380522914929315,0.0,0.0,0.0,4.0,False
DIAGPQE[N=10],BasinGraph,small_2_20,quadratic,0.0,0.0,-16.0,0.0,0.0,-1.464484126984128,-1.464484126984128,1.0,0.0094320414937101,1.0,1.0,1.0,1.0,True
DIAGPQE[N=10],CMA-ES,small_2_20,quadratic,121994.18622053499,275815.7521588177,5.086297828710838,62730.50593933085,189960.85585961654,4753439.068090254,10747017.03248031,1.0,0.0326245415199082,0.0,0.0,0.0,3.0,False
DIAGPQE[N=10],Differential Evolution,small_2_20,quadratic,6903199125.3763485,7641957047.956547,9.83827093311563,5740297213.048499,9540699595.448172,268979592744.67297,297764914092.73285,1.0,0.01037464552791785,0.0,0.0,0.0,5.0,False
DIAGPQE[N=10],Latin Hypercube Sampling,small_2_20,quadratic,31984493027.872536,33321782720.162228,10.504937209775564,25416086629.84033,40186162981.5892,1246259270892.7092,1298366073881.1104,1.0,0.00199214552412735,0.0,0.0,0.0,6.0,False
DIAGPQE[N=10],Multi-start L-BFGS-B,small_2_20,quadratic,55.75614370224723,42.3253688172556,1.7458158500912013,30.32943441854753,58.64761869698517,2171.0448921410734,1647.7216773217203,1.0,0.00863772898446765,0.0,0.0,0.0,2.0,False
DIAGPQE[N=10],Random Search,small_2_20,quadratic,35376801507.705185,32678621505.34298,10.548705578567741,27157897418.505474,37930509847.838776,1378438820808.9824,1273305628935.194,1.0,0.00283235448296175,0.0,0.0,0.0,7.0,False
DIAGPQE[N=50],BIPOP-CMA-ES,medium_21_100,quadratic,210167746.29114145,228994074.1284113,8.322563944584306,151841797.74453926,261341250.08815563,144963119495.93903,157948571641.41534,1.0,0.1345093540148809,0.0,0.0,0.0,4.0,False
DIAGPQE[N=50],BasinGraph,medium_21_100,quadratic,0.0,0.0,-16.0,0.0,0.0,-2.249602669164711,-2.249602669164711,1.0,0.01941668748622755,1.0,1.0,1.0,1.0,True
DIAGPQE[N=50],CMA-ES,medium_21_100,quadratic,180901402.4095971,179024510.13139874,8.257403348131652,106580172.1956744,219980846.9574141,124776670432.06468,123482084728.92453,1.0,0.12552289600716898,0.0,0.0,0.0,3.0,False
DIAGPQE[N=50],Differential Evolution,medium_21_100,quadratic,129909789388.8389,129170905829.6828,11.11361887444395,121910879913.9844,135329112729.82368,89605225613784.25,89095580972437.55,1.0,0.0266803124977741,0.0,0.0,0.0,5.0,False
DIAGPQE[N=50],Latin Hypercube Sampling,medium_21_100,quadratic,138884178950.14548,138298857862.02026,11.142652757108891,131549230517.39172,145136619020.74725,95795307247893.75,95391582259925.52,1.0,0.00719293751171785,0.0,0.0,0.0,7.0,False
DIAGPQE[N=50],Multi-start L-BFGS-B,medium_21_100,quadratic,22447343.755531907,21492248.729739312,7.351106479536376,10959130.81623618,31516211.477242447,15483046434.106686,14824270019.554949,1.0,0.01642714548506765,0.0,0.0,0.0,2.0,False
DIAGPQE[N=50],Random Search,medium_21_100,quadratic,138082227795.34326,139149904991.3223,11.140137467567465,135075365959.83273,144219858796.89807,95242161757508.84,95978591679214.3,1.0,0.0081652290245983,0.0,0.0,0.0,6.0,False
DIAGPQT[N=500],BIPOP-CMA-ES,large_101_500,quadratic,205983133.93008703,214309666.03333366,8.313818129630146,197670326.42226747,239541775.35114697,17294471675936.195,17993572475467.41,1.0,4.692554541485151,0.0,0.0,0.0,3.0,False
DIAGPQT[N=500],BasinGraph,large_101_500,quadratic,0.0,0.0,-16.0,0.0,0.0,-251.87020329299548,-251.87020329299548,1.0,0.3220500625029672,1.0,1.0,1.0,1.0,True
DIAGPQT[N=500],CMA-ES,large_101_500,quadratic,192102061.20685446,194072996.47943977,8.283531705406157,177154117.3970588,211145332.5840166,16129008201006.574,16294489148873.38,1.0,4.539972395519726,0.0,0.0,0.0,2.0,False
DIAGPQT[N=500],Differential Evolution,large_101_500,quadratic,247588509293.84457,247011253967.7979,11.393730476228132,244403018026.2568,251638704829.14545,2.0787684795519704e+16,2.073921808032917e+16,1.0,0.3852253334480338,0.0,0.0,0.0,7.0,False
DIAGPQT[N=500],Latin Hypercube Sampling,large_101_500,quadratic,244872343399.91663,244897389107.65897,11.388939737377711,243722989567.67886,246131909937.30157,2.055963382249048e+16,2.0561736675645956e+16,1.0,0.25206289600464515,0.0,0.0,0.0,6.0,False
DIAGPQT[N=500],Multi-start L-BFGS-B,large_101_500,quadratic,644938202.2455467,644938202.2455467,8.809518102682498,644938202.2455467,644938202.2455467,54149411453081.02,54149411453081.02,1.0,0.18618254151078872,0.0,0.0,0.0,4.0,False
DIAGPQT[N=500],Random Search,large_101_500,quadratic,200686608307.5861,200686608307.5861,11.302518393253996,200686608307.5861,200686608307.5861,1.68497721e+16,1.68497721e+16,1.0,0.16269683348946268,0.0,0.0,0.0,5.0,False
