instance_id,algorithm,target_residual,runs,successes,success_rate,ert_function_evaluations,median_nfe_to_target_successes,dimension,dimension_group,best_ert_problem,performance_ratio
PRICE4B,CMA-ES,0.001,30,30,1.0,61.833333333333336,57.0,2,small_2_20,1.0,61.833333333333336
PRICE4B,Differential Evolution,0.001,30,30,1.0,152.33333333333334,152.5,2,small_2_20,1.0,152.33333333333334
PRICE4B,Latin Hypercube Sampling,0.001,30,8,0.26666666666666666,3058.0,359.0,2,small_2_20,1.0,3058.0
PRICE4B,Multi-start L-BFGS-B,0.001,30,30,1.0,1.0,1.0,2,small_2_20,1.0,1.0
PRICE4B,Random Search,0.001,30,30,1.0,1.0,1.0,2,small_2_20,1.0,1.0
PROBPENL[N=50],BIPOP-CMA-ES,0.001,30,0,0.0,inf,,50,medium_21_100,74989.0,inf
PROBPENL[N=50],BasinGraph,0.001,30,1,0.03333333333333333,74989.0,2489.0,50,medium_21_100,74989.0,1.0
PROBPENL[N=50],CMA-ES,0.001,30,0,0.0,inf,,50,medium_21_100,74989.0,inf
PROBPENL[N=50],Differential Evolution,0.001,30,0,0.0,inf,,50,medium_21_100,74989.0,inf
PROBPENL[N=50],Latin Hypercube Sampling,0.001,30,0,0.0,inf,,50,medium_21_100,74989.0,inf
PROBPENL[N=50],Multi-start L-BFGS-B,0.001,30,0,0.0,inf,,50,medium_21_100,74989.0,inf
PROBPENL[N=50],Random Search,0.001,30,0,0.0,inf,,50,medium_21_100,74989.0,inf
QINGB[N=100],BIPOP-CMA-ES,0.001,30,0,0.0,inf,,100,medium_21_100,1967.0,inf
QINGB[N=100],BasinGraph,0.001,30,30,1.0,1967.0,1967.0,100,medium_21_100,1967.0,1.0
QINGB[N=100],CMA-ES,0.001,30,0,0.0,inf,,100,medium_21_100,1967.0,inf
QINGB[N=100],Differential Evolution,0.001,30,0,0.0,inf,,100,medium_21_100,1967.0,inf
QINGB[N=100],Latin Hypercube Sampling,0.001,30,0,0.0,inf,,100,medium_21_100,1967.0,inf
QINGB[N=100],Multi-start L-BFGS-B,0.001,30,0,0.0,inf,,100,medium_21_100,1967.0,inf
QINGB[N=100],Random Search,0.001,30,0,0.0,inf,,100,medium_21_100,1967.0,inf
