problem_id,function_index,function_group,dimension,instance_index,fbest,final_value_rank,budget,nfe,archive_nodes,archive_capacity,archive_saturated,graph_edges,graph_edges_per_node,mean_node_visits,max_node_visits,mean_node_novelty,mean_edge_accessibility,max_edge_accessibility,positive_improvement_edges,positive_improvement_edge_fraction,use_center_local,use_far_basin,diag_dimension,diag_mean_scale,diag_max_scale,diag_anisotropy,diag_boundary_signal,diag_ruggedness_score,diag_sign_change_rate,diag_finite_anchor_fraction,diag_valid_axis_triplets,phase_initial_design_nfe,phase_initial_design_fraction,phase_center_local_nfe,phase_center_local_fraction,phase_coordinate_sweep_nfe,phase_coordinate_sweep_fraction,phase_far_basin_nfe,phase_far_basin_fraction,phase_archive_fallback_nfe,phase_archive_fallback_fraction,phase_final_polish_nfe,phase_final_polish_fraction,phase_budget_completion_nfe,phase_budget_completion_fraction
bbob_f009_i02_d02,9,Low/moderate conditioning (f6-f9),2,2,47.51000000000078,5.0,2000,2000,80,80,True,458,5.725,8.95,115.0,0.49921408140280993,0.15841053531170948,1.0,174,0.3799126637554585,True,True,2,10.0,10.0,1.0,-5.513738438046588,0.9605813573797224,1.0,1.0,2,33,0.0165,69.0,0.0345,351,0.1755,32.0,0.016,200,0.1,66,0.033,1249,0.6245
bbob_f009_i03_d02,9,Low/moderate conditioning (f6-f9),2,3,55.34000000000001,5.0,2000,2000,80,80,True,167,2.0875,3.0125,36.0,0.6687659812506006,0.12569662361316802,1.0,64,0.38323353293413176,True,True,2,10.0,10.0,1.0,-4.356747091275978,0.9626466613986092,1.0,1.0,2,33,0.0165,87.0,0.0435,355,0.1775,32.0,0.016,200,0.1,60,0.03,1233,0.6165
bbob_f010_i01_d02,10,High conditioning / unimodal (f10-f14),2,1,-54.93999993391047,5.0,2000,2000,80,80,True,246,3.075,4.7375,51.0,0.5571746825905411,0.14625053230298346,1.0,107,0.4349593495934959,True,True,2,10.0,10.0,1.0,-0.3706215423489769,0.8501126219966046,0.5,1.0,2,33,0.0165,243.0,0.1215,334,0.167,32.0,0.016,200,0.1,100,0.05,1058,0.529
bbob_f010_i02_d02,10,High conditioning / unimodal (f10-f14),2,2,59.13000000317551,4.0,2000,2000,80,80,True,168,2.1,3.425,41.0,0.6250762939310868,0.11659035354245832,1.0,58,0.34523809523809523,True,True,2,10.0,10.0,1.0,-0.6470846516191591,0.7652015772371413,1.0,1.0,2,33,0.0165,222.0,0.111,352,0.176,32.0,0.016,200,0.1,100,0.05,1061,0.5305
bbob_f010_i03_d02,10,High conditioning / unimodal (f10-f14),2,3,-491.5299999999398,4.0,2000,2000,80,80,True,189,2.3625,3.6875,44.0,0.6712361056800313,0.16217426874299576,1.0,84,0.4444444444444444,True,True,2,10.0,10.0,1.0,-0.5926293961410407,0.9359011329676131,1.0,1.0,2,33,0.0165,168.0,0.084,345,0.1725,32.0,0.016,200,0.1,100,0.05,1122,0.561
bbob_f011_i01_d02,11,High conditioning / unimodal (f10-f14),2,1,76.27000000557278,4.0,2000,2000,80,80,True,182,2.275,3.725,37.0,0.6305576394621364,0.13134067560800947,1.0,69,0.3791208791208791,True,True,2,10.0,10.0,1.0,0.16542509824963308,0.8056221628814002,0.0,1.0,2,33,0.0165,183.0,0.0915,336,0.168,32.0,0.016,200,0.1,100,0.05,1116,0.558
bbob_f011_i02_d02,11,High conditioning / unimodal (f10-f14),2,2,-22.549999956503637,5.0,2000,2000,80,80,True,154,1.925,2.7375,26.0,0.7199791830290755,0.12484706092481776,1.0,56,0.36363636363636365,True,True,2,10.0,10.0,1.0,-0.030384553088485547,0.8522677412624182,0.0,1.0,2,33,0.0165,189.0,0.0945,315,0.1575,32.0,0.016,200,0.1,100,0.05,1131,0.5655
bbob_f011_i03_d02,11,High conditioning / unimodal (f10-f14),2,3,13.660000000419686,4.5,2000,2000,80,80,True,166,2.075,3.6,38.0,0.6300612567230639,0.14197065076578586,1.0,61,0.3674698795180723,True,True,2,10.0,10.0,1.0,-2.2511708453010124,0.7938339404519855,1.0,1.0,2,33,0.0165,240.0,0.12,340,0.17,32.0,0.016,200,0.1,100,0.05,1055,0.5275
bbob_f012_i01_d02,12,High conditioning / unimodal (f10-f14),2,1,-621.1099999994705,5.0,2000,2000,80,80,True,148,1.85,2.8375,26.0,0.7139506899126744,0.12951510290729593,1.0,61,0.41216216216216217,True,True,2,10.0,10.0,1.0,-0.00014088543451703896,0.9973992939555941,0.0,1.0,2,33,0.0165,135.0,0.0675,331,0.1655,32.0,0.016,200,0.1,96,0.048,1173,0.5865
bbob_f012_i02_d02,12,High conditioning / unimodal (f10-f14),2,2,-254.81999999999817,2.5,2000,2000,80,80,True,175,2.1875,3.3,37.0,0.6159448957888662,0.1425492477522314,1.0,74,0.4228571428571429,True,True,2,10.0,10.0,1.0,-2.1040869824860007,0.9999325259641244,0.0,1.0,2,33,0.0165,132.0,0.066,318,0.159,32.0,0.016,200,0.1,81,0.0405,1204,0.602
