algorithm,evaluations_per_dimension,fraction_problem_seed_pairs_solved,target_residual,problem_seed_pairs
BIPOP-CMA-ES,1.090270030726699,0.007333333333333333,0.001,1500
BIPOP-CMA-ES,1.1199759516105912,0.007333333333333333,0.001,1500
BIPOP-CMA-ES,1.1504912515571837,0.007333333333333333,0.001,1500
BIPOP-CMA-ES,1.1818379832229051,0.007333333333333333,0.001,1500
BIPOP-CMA-ES,1.214038800119429,0.007333333333333333,0.001,1500
BIPOP-CMA-ES,1.247116972984811,0.007333333333333333,0.001,1500
BIPOP-CMA-ES,1.2810964066006767,0.007333333333333333,0.001,1500
BIPOP-CMA-ES,1.3160016570676205,0.007333333333333333,0.001,1500
BIPOP-CMA-ES,1.3518579495512952,0.007333333333333333,0.001,1500
BIPOP-CMA-ES,1.388691196512018,0.007333333333333333,0.001,1500
BIPOP-CMA-ES,1.426528016431068,0.007333333333333333,0.001,1500
BIPOP-CMA-ES,1.4653957530472086,0.007333333333333333,0.001,1500
BIPOP-CMA-ES,1.5053224951173332,0.009333333333333334,0.001,1500
BIPOP-CMA-ES,1.54633709671552,0.009333333333333334,0.001,1500
BIPOP-CMA-ES,1.5884691980851606,0.009333333333333334,0.001,1500
BIPOP-CMA-ES,1.631749247059235,0.009333333333333334,0.001,1500
BIPOP-CMA-ES,1.6762085210642113,0.009333333333333334,0.001,1500
BIPOP-CMA-ES,1.7218791497234711,0.009333333333333334,0.001,1500
BIPOP-CMA-ES,1.7687941380766001,0.009333333333333334,0.001,1500
BIPOP-CMA-ES,1.816987390431316,0.009333333333333334,0.001,1500
BIPOP-CMA-ES,1.8664937348652777,0.009333333333333334,0.001,1500
BIPOP-CMA-ES,1.9173489483954813,0.009333333333333334,0.001,1500
BIPOP-CMA-ES,1.969589782833429,0.009333333333333334,0.001,1500
BIPOP-CMA-ES,2.0232539913447596,0.011333333333333334,0.001,1500
BIPOP-CMA-ES,2.07838035573253,0.011333333333333334,0.001,1500
BIPOP-CMA-ES,2.1350087144638747,0.011333333333333334,0.001,1500
BIPOP-CMA-ES,2.1931799914602816,0.011333333333333334,0.001,1500
BIPOP-CMA-ES,2.252936225672305,0.011333333333333334,0.001,1500
BIPOP-CMA-ES,2.314320601460079,0.011333333333333334,0.001,1500
BIPOP-CMA-ES,2.377377479801595,0.011333333333333334,0.001,1500
BIPOP-CMA-ES,2.442152430351287,0.011333333333333334,0.001,1500
BIPOP-CMA-ES,2.508692264372099,0.012,0.001,1500
BIPOP-CMA-ES,2.577045068564834,0.012,0.001,1500
BIPOP-CMA-ES,2.6472602398192295,0.012,0.001,1500
BIPOP-CMA-ES,2.719388520911876,0.012,0.001,1500
BIPOP-CMA-ES,2.7934820371767675,0.012,0.001,1500
BIPOP-CMA-ES,2.8695943341750034,0.012,0.001,1500
BIPOP-CMA-ES,2.947780416390847,0.012,0.001,1500
BIPOP-CMA-ES,3.028096786982109,0.013333333333333334,0.001,1500
BIPOP-CMA-ES,3.1106014886135958,0.013333333333333334,0.001,1500
BIPOP-CMA-ES,3.1953541454031082,0.013333333333333334,0.001,1500
BIPOP-CMA-ES,3.2824160060103327,0.013333333333333334,0.001,1500
BIPOP-CMA-ES,3.37184998789973,0.013333333333333334,0.001,1500
BIPOP-CMA-ES,3.463720722809446,0.013333333333333334,0.001,1500
BIPOP-CMA-ES,3.558094603459081,0.016,0.001,1500
BIPOP-CMA-ES,3.6550398315300656,0.016666666666666666,0.001,1500
BIPOP-CMA-ES,3.7546264669533427,0.016666666666666666,0.001,1500
BIPOP-CMA-ES,3.8569264785399606,0.016666666666666666,0.001,1500
BIPOP-CMA-ES,3.9620137959911523,0.016666666666666666,0.001,1500
BIPOP-CMA-ES,4.069964363325515,0.017333333333333333,0.001,1500
BIPOP-CMA-ES,4.180856193761892,0.017333333333333333,0.001,1500
BIPOP-CMA-ES,4.29476942609759,0.017333333333333333,0.001,1500
BIPOP-CMA-ES,4.411786382622735,0.017333333333333333,0.001,1500
BIPOP-CMA-ES,4.5319916286125475,0.019333333333333334,0.001,1500
BIPOP-CMA-ES,4.655472033440598,0.019333333333333334,0.001,1500
BIPOP-CMA-ES,4.782316833357166,0.02,0.001,1500
BIPOP-CMA-ES,4.912617695978076,0.02,0.001,1500
BIPOP-CMA-ES,5.0464687865306255,0.020666666666666667,0.001,1500
BIPOP-CMA-ES,5.183966835904496,0.020666666666666667,0.001,1500
BIPOP-CMA-ES,5.325211210556759,0.020666666666666667,0.001,1500
BIPOP-CMA-ES,5.4703039843216,0.020666666666666667,0.001,1500
BIPOP-CMA-ES,5.6193500121765405,0.020666666666666667,0.001,1500
BIPOP-CMA-ES,5.77245700601856,0.020666666666666667,0.001,1500
BIPOP-CMA-ES,5.929735612504848,0.020666666666666667,0.001,1500
BIPOP-CMA-ES,6.091299493014393,0.020666666666666667,0.001,1500
BIPOP-CMA-ES,6.257265405788284,0.020666666666666667,0.001,1500
BIPOP-CMA-ES,6.42775329030802,0.020666666666666667,0.001,1500
BIPOP-CMA-ES,6.602886353972807,0.021333333333333333,0.001,1500
BIPOP-CMA-ES,6.782791161138521,0.021333333333333333,0.001,1500
BIPOP-CMA-ES,6.967597724582666,0.021333333333333333,0.001,1500
BIPOP-CMA-ES,7.157439599461386,0.022,0.001,1500
BIPOP-CMA-ES,7.352453979826516,0.02266666666666667,0.001,1500
BIPOP-CMA-ES,7.55278179777232,0.02266666666666667,0.001,1500
BIPOP-CMA-ES,7.7585678252836665,0.02266666666666667,0.001,1500
BIPOP-CMA-ES,7.9699607788591855,0.02266666666666667,0.001,1500
